Token_ID,Symbol,Series,Price_Band,Company_Name,ISIN,High_Price_Rs
7412,ALPHA,EQ,20,KOTAKMAMC - KOTAKALPHA,INF174KA1IA5,49.6
19640,ALPHAETF,EQ,20,MIRAEAMC - ALPHAETF,INF769K01KU7,24.5
22344,ALPL30IETF,EQ,20,ICICIPRAMC - ICICIALPLV,INF109KC17V7,27.29
1185,AMBER,EQ,20,AMBER ENTERPRISES (I) LTD,INE371P01015,6502.0
11496,AMBICAAGAR,EQ,20,AMBICA AGAR & AROMAINDLTD,INE792B01012,31.08
15234,AMBIKCO,EQ,20,AMBIKA COTTON MILL LTD.,INE540G01014,1560.0
14398,AMDIND,EQ,20,AMD INDUSTRIES LIMITED,INE005I01014,51.16
2598,AMJLAND,EQ,20,AMJ LAND HOLDINGS LIMITED,INE606A01024,62.6
19867,AMNPLST,EQ,20,AMINES & PLASTICIZERS LTD,INE275D01022,230.98
17547,AMRUTANJAN,EQ,20,AMRUTAJAN HEALTH LTD,INE098F01031,735.0
7145,ANANDRATHI,EQ,20,ANAND RATHI WEALTH LTD,INE463V01026,1990.6
13620,ANANTRAJ,EQ,20,ANANT RAJ LIMITED,INE242C01024,585.9
166,ANDHRAPAP,EQ,20,ANDHRA PAPER LIMITED,INE435A01051,79.47
136,ANDHRSUGAR,EQ,20,ANDHRA SUGARS LTD,INE715B01021,75.5
3727,ANMOL,EQ,20,ANMOL INDIA LIMITED,INE02AR01019,18.0
28314,ANUHPHR,EQ,20,ANUH PHARMA LIMITED,INE489G01022,228.59
9014,ANUP,EQ,20,THE ANUP ENGINEERING LTD,INE294Z01018,2778.7
2829,ANURAS,EQ,20,ANUPAM RASAYAN INDIA LTD,INE930P01018,1008.0
30472,AONELIQUID,EQ,20,AONEAMC - AONELIQUID,INF1J2R01056,1010.75
757096,AONENIFTY,EQ,20,AONEAMC - AONENIFTY,INF1J2R01064,10.18
29975,AONETOTAL,EQ,20,AONEAMC - AONETOTAL,INF1J2R01015,11.64
11491,APARINDS,EQ,20,APAR INDUSTRIES LTD.,INE372A01015,8180.0
20453,APCL,EQ,20,ANJANI PORTLAND CEM LTD,INE071F01012,142.1
154,APCOTEXIND,EQ,20,APCOTEX INDUSTRIES LIMITE,INE116A01032,390.0
21623,APEX,EQ,20,APEX FROZEN FOODS LIMITED,INE346W01013,235.78
25328,APLLTD,EQ,20,ALEMBIC PHARMA LTD,INE901L01018,1015.8
14361,APOLLOPIPE,EQ,20,APOLLO PIPES LIMITED,INE126J01016,468.8
163,APOLLOTYRE,EQ,20,APOLLO TYRES LTD,INE438A01022,474.9
6302,APOLSINHOT,EQ,20,APOLLO SINDOORI HOTEL LTD,INE451F01024,1363.9
5435,APTUS,EQ,20,APTUS VALUE HSG FIN I LTD,INE852O01025,340.6
16795,ARCHIDPLY,EQ,20,ARCHIDPLY IND. LTD,INE877I01016,97.39
5688,ARCHIES,EQ,20,ARCHIES LTD,INE731A01020,21.26
100,ARE&M,EQ,20,AMARA RAJA ENERGY MOB LTD,INE885A01032,1037.0
15204,ARIES,EQ,20,ARIES AGRO LTD.,INE298I01015,304.85
3813,ARIHANTCAP,EQ,20,ARIHANT CAPITAL MKTS LTD,INE420B01036,71.18
20159,ARIHANTSUP,EQ,20,ARIHANT SUPERSTRUCT LTD,INE643K01018,375.6
25398,ARKADE,EQ,20,ARKADE DEVELOPERS LIMITED,INE0QRL01017,187.0
17263,ARMANFIN,EQ,20,ARMAN FIN SERV LTD,INE109C01017,1587.0
14557,AROGRANITE,EQ,20,ARO GRANITE IND. LTD.,INE210C01013,42.42
16913,ARTEMISMED,EQ,20,ARTEMIS MED SERVICE LTD,INE025R01021,280.8
193,ARVIND,EQ,20,ARVIND LIMITED,INE034A01011,357.95
9111,ARVINDFASN,EQ,20,ARVIND FASHIONS LIMITED,INE955V01021,459.4
10457,ARVSMART,EQ,20,ARVIND SMARTSPACES LTD,INE034S01021,678.2
5378,ASAHIINDIA,EQ,20,ASAHI INDIA GLASS LIMITED,INE439A01020,754.8
10634,ASAL,EQ,20,AUTOMOTIVE STAMPINGS & AS,INE900C01027,493.0
17598,ASALCBR,EQ,20,ASSO ALCOHOLS & BREW LTD,INE073G01016,1107.5
24403,ASHIANA,EQ,20,ASHIANA HOUSING LTD,INE365D01021,321.8
20182,ASHOKA,EQ,20,ASHOKA BUILDCON LTD,INE442H01029,224.56
16943,ASHOKAMET,EQ,20,ASHOKA METCAST LIMITED,INE760Y01011,18.35
7030,ASIANENE,EQ,20,ASIAN ENERGY SERVICES LTD,INE276G01015,315.0
14889,ASIANTILES,EQ,20,ASIAN GRANITO IND. LTD.,INE022I01019,61.59
17270,ASPINWALL,EQ,20,ASPINWALL & CO LTD,INE991I01015,287.4
17728,ASTEC,EQ,20,ASTEC LIFESCIENCES LTD,INE563J01010,697.8
1508,ASTERDM,EQ,20,ASTER DM HEALTHCARE LTD.,INE914M01019,563.9
11618,ASTRAMICRO,EQ,20,ASTRA MICROWAVE LTD,INE386C01029,1136.2
5610,ASTRAZEN,EQ,20,ASTRAZENECA PHARMA IND LT,INE203A01020,9488.0
15404,ATAM,EQ,20,ATAM VALVES LIMITED,INE09KD01013,106.97
757645,ATHERENERG,EQ,20,ATHER ENERGY LIMITED,INE0LEZ01016,319.9
17778,ATL,EQ,20,ALLCARGO TERMINALS LTD,INE0NN701020,29.85
263,ATUL,EQ,20,ATUL LTD,INE100A01010,7184.5
30023,ATULAUTO,EQ,20,ATUL AUTO LIMITED,INE951D01028,502.0
12022,AURIONPRO,EQ,20,AURIONPRO SOLN LTD,INE132H01018,1374.8
10310,AURUM,EQ,20,AURUM PROPTECH LIMITED,INE898S01029,204.7
278,AUTOAXLES,EQ,20,AUTOMOTIVE AXLES LIMITED,INE449A01011,1775.0
7880,AUTOBEES,EQ,20,NIPPONAMC - NETFAUTO,INF204KC1337,244.0
7844,AUTOIETF,EQ,20,ICICIPRAMC - ICICIAUTO,INF109KC10V2,23.91
14106,AUTOIND,EQ,20,AUTOLINE INDUSTRIES LTD,INE718H01014,90.73
21406,AVADHSUGAR,EQ,20,AVADH SUG & ENERGY LTD,INE349W01017,554.5
24610,AVANTEL,EQ,20,AVANTEL LIMITED,INE005B01027,154.0
7936,AVANTIFEED,EQ,20,AVANTI FEEDS LIMITED,INE871C01038,865.9
15589,AVG,EQ,20,AVG LOGISTICS LIMITED,INE680Z01018,285.0
25984,AVL,EQ,20,ADITYA VISION LIMITED,INE679V01027,409.75
14008,AVTNPL,EQ,20,AVT NATURAL PRODUCTS LTD,INE488D01021,66.15
23864,AWFIS,EQ,20,AWFIS SPACE SOLUTIONS LTD,INE108V01019,662.9
1797,AWHCL,EQ,20,ANTONY WASTE HDG CELL LTD,INE01BK01022,634.45
8110,AWL,EQ,20,AWL AGRI BUSINESS LIMITED,INE699H01024,273.9
1044,AXISBNKETF,EQ,20,AXISAMC - AXISBNKETF,INF846K01X63,572.68
3530,AXISBPSETF,EQ,20,AXISAMC - AXISBPSETF,INF846K01Z04,12.82
5732,AXISCETF,EQ,20,AXISAMC - AXISCETF,INF846K016C7,119.8
20532,AXISGOLD,EQ,20,AXIS MF - AXIS GOLD ETF,INF846K01W80,81.31
3608,AXISHCETF,EQ,20,AXISAMC - AXISHCETF,INF846K01Z12,144.79
11193,AXISILVER,EQ,20,AXISAMC - AXISILVER,INF846K011K1,98.99
21252,AXISNIFTY,EQ,20,AXISAMC - AXISNIFTY,INF846K01W98,273.13
3010,AXISTECETF,EQ,20,AXISAMC - AXISTECETF,INF846K01Y96,401.35
30155,AXISVALUE,EQ,20,AXISAMC - AXISVALUE,INF846KA1119,28.2
9902,AXITA,EQ,20,AXITA COTTON LIMITED,INE02EZ01022,9.55
14742,AXSENSEX,EQ,20,AXISAMC - AXSENSEX,INF846K010Q0,84.7
20905,AZAD,EQ,20,AZAD ENGINEERING LIMITED,INE02IJ01035,1899.0
13794,BAIDFIN,EQ,20,BAID FINSERV LIMITED,INE020D01022,10.94
19531,BAJAJCON,EQ,20,BAJAJ CONSUMER CARE LTD,INE933K01021,177.0
15034,BAJAJELEC,EQ,20,BAJAJ ELECT.LTD,INE193E01025,688.4
6863,BAJAJHCARE,EQ,20,BAJAJ HEALTHCARE LIMITED,INE411U01027,544.65
308,BAJAJHIND,EQ,20,BAJAJ HINDUSTHAN SUGAR LT,INE306A01021,24.85
305,BAJAJHLDNG,EQ,20,BAJAJ HOLDINGS & INVS LTD,INE118A01012,13549.0
